id,temperature,energy,person,datetime,household
1,27.3,291.5,6,22/12/2023 10:00,CARNICE RESIDENCE
2,27.8,82.1,6,22/12/2023 11:00,CARNICE RESIDENCE
3,28.5,343.2,7,22/12/2023 12:00,CARNICE RESIDENCE
4,28.5,112.4,6,22/12/2023 13:00,CARNICE RESIDENCE
5,28.7,113.7,6,22/12/2023 14:00,CARNICE RESIDENCE
6,28.5,76.4,3,22/12/2023 15:00,CARNICE RESIDENCE
7,28.2,75.5,3,22/12/2023 16:00,CARNICE RESIDENCE
8,27.9,75.5,4,22/12/2023 17:00,CARNICE RESIDENCE
9,27.2,94.7,4,22/12/2023 18:00,CARNICE RESIDENCE
10,26.9,357.1,4,22/12/2023 19:00,CARNICE RESIDENCE
11,26.9,83.5,4,22/12/2023 20:00,CARNICE RESIDENCE
12,26.8,85.8,4,22/12/2023 21:00,CARNICE RESIDENCE
13,26.8,82.3,4,22/12/2023 22:00,CARNICE RESIDENCE
14,26.7,74.3,4,22/12/2023 23:00,CARNICE RESIDENCE
15,26.7,74.3,4,23/12/2023 0:00,CARNICE RESIDENCE
16,26.5,74.3,4,23/12/2023 1:00,CARNICE RESIDENCE
17,26.3,74.4,4,23/12/2023 2:00,CARNICE RESIDENCE
18,26,74.3,4,23/12/2023 3:00,CARNICE RESIDENCE
19,25.3,89.1,4,23/12/2023 4:00,CARNICE RESIDENCE
20,25.7,89.2,4,23/12/2023 5:00,CARNICE RESIDENCE
21,26,89.1,4,23/12/2023 6:00,CARNICE RESIDENCE
22,26.3,347.8,4,23/12/2023 7:00,CARNICE RESIDENCE
23,27.2,83.4,4,23/12/2023 8:00,CARNICE RESIDENCE
24,27.3,345.2,2,23/12/2023 9:00,CARNICE RESIDENCE
25,27.9,89.1,2,23/12/2023 10:00,CARNICE RESIDENCE
26,28.3,81.1,2,23/12/2023 11:00,CARNICE RESIDENCE
27,28.5,112.6,4,23/12/2023 12:00,CARNICE RESIDENCE
28,28.6,112.7,4,23/12/2023 13:00,CARNICE RESIDENCE
29,28.9,94.3,4,23/12/2023 14:00,CARNICE RESIDENCE
30,28.5,94.3,4,23/12/2023 15:00,CARNICE RESIDENCE
31,28.4,112.3,4,23/12/2023 16:00,CARNICE RESIDENCE
32,28.2,124.1,4,23/12/2023 17:00,CARNICE RESIDENCE
33,27.4,112.4,4,23/12/2023 18:00,CARNICE RESIDENCE
34,27.1,112.5,4,23/12/2023 19:00,CARNICE RESIDENCE
35,26.9,112.7,4,23/12/2023 20:00,CARNICE RESIDENCE
36,26.8,112.2,4,23/12/2023 21:00,CARNICE RESIDENCE
37,26.8,112.3,4,23/12/2023 22:00,CARNICE RESIDENCE
38,26.7,78.1,4,23/12/2023 23:00,CARNICE RESIDENCE
39,26.7,74.6,4,24/12/2023 0:00,CARNICE RESIDENCE
40,26.7,74.6,4,24/12/2023 1:00,CARNICE RESIDENCE
41,26.5,74.6,4,24/12/2023 2:00,CARNICE RESIDENCE
42,26.3,74.7,4,24/12/2023 3:00,CARNICE RESIDENCE
43,25.8,74.6,4,24/12/2023 4:00,CARNICE RESIDENCE
44,25.7,74.7,4,24/12/2023 5:00,CARNICE RESIDENCE
45,25.9,84.3,4,24/12/2023 6:00,CARNICE RESIDENCE
46,26.5,357.2,4,24/12/2023 7:00,CARNICE RESIDENCE
47,26.8,84.1,1,24/12/2023 8:00,CARNICE RESIDENCE
48,27.1,84.2,1,24/12/2023 9:00,CARNICE RESIDENCE
49,28,110.1,1,24/12/2023 10:00,CARNICE RESIDENCE
50,28.1,84.3,1,24/12/2023 11:00,CARNICE RESIDENCE
51,28.5,76.5,0,24/12/2023 12:00,CARNICE RESIDENCE
52,28.9,76.7,0,24/12/2023 13:00,CARNICE RESIDENCE
53,28.6,76.7,0,24/12/2023 14:00,CARNICE RESIDENCE
54,28.3,76.6,0,24/12/2023 15:00,CARNICE RESIDENCE
55,28.2,76.7,0,24/12/2023 16:00,CARNICE RESIDENCE
56,27.8,85.8,3,24/12/2023 17:00,CARNICE RESIDENCE
57,27.3,346.4,3,24/12/2023 18:00,CARNICE RESIDENCE
58,27.1,1592.3,3,24/12/2023 19:00,CARNICE RESIDENCE
59,26.9,1591.2,3,24/12/2023 20:00,CARNICE RESIDENCE
60,26.8,84.8,3,24/12/2023 21:00,CARNICE RESIDENCE
61,26.8,82.6,3,24/12/2023 22:00,CARNICE RESIDENCE
62,26.7,74.8,3,24/12/2023 23:00,CARNICE RESIDENCE
